,Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
725,Learning Company OREGON TRAIL 5TH EDITION (JEWEL CASE),25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,83,2,0,0,0,0,7,0,1,1,0,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
KIDS - ADVENTURE & MYSTERY
KIDS
JEWEL CASE
WINDOWS & MACINTOSH
Explore the West! Live the Adventure! Survive the Trail! Westward, Ho! Are you ready to travel the Oregon Trail? It‘s going to take insight and careful planning to choose the right traveling companions, gear, and supplies.",9,70
731,Resident Evil 3:The City of Ruin Expansion –A Board Game Expansion by Steamforged Games 1-4 Players–Board Games for Family 60-90 Mins of Gameplay–Games for Family Game Night–for Ages 14+-English,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,20,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
As consciousness returns and you blink shadows from your eyes, all you can hear is the ringing in your ears. At first, you think it might be from the bells, as you recall racing through the Clock Tower in search of gears to sound the great bell.
Then the blood drains from your face as the memories begin to surface. You thought you’d escaped Raccoon City. But it isn’t over yet.
Continue your desperate escape with 11 hours of new gameplay, nine gripping new scenarios, three terrifying new enemy types, and two large-and-lethal bosses.
This expansion will drastically change the course of your Resident Evil 3: The Board Game campaign, taking you beyond the built-up city streets to brand new locations plagued by new enemies. Resident Evil 3: The Board Game is required to play this expansion.
But new enemies aren’t your only threat. To move forward, you must adapt to new gameplay mechanics introduced by the changed environment. Creep silently through the City Hospital. Wade through flood water in the City Park.",9,196
756,Crusader Kings II: Byzantine Unit Pack [Online Game Code],1.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,62,4,0,16,10,2012,1,1,0,1,0,"You can download your game or software order an unlimited number of times for personal use.
Please check the system requirements to verify this game works with your computer and/or operating system before purchase.
You can also shop for digital games on your mobile device.",3,45
774,EA Play Membership - 12 Month - PC [Online Game Code],30.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,2,2,12,12,2021,5,0,0,1,0,"Here's what you get with EA Play Membership:
Unlock Exclusive challenges and rewards, member-only content, early trials of new releases, and access to a library of top titles.
Play select new-release games for up to 10 hours even before they launch.
Get more to play with unlimited access to a collection of fan-favorite series and top titles.
Save on EA digital purchases including game downloads, seasons passes, points packs, and DLC.",5,71
783,Metro Redux [Online Game Code],29.98,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,26,1,0,26,8,2014,6,5,0,1,0,"Immerse yourself in the Moscow Metro - witness one of the most atmospheric worlds in gaming brought to life with stunning next-gen visuals at 60FPS
Rebuilt and Remastered for next gen - with all previous DLC content included, new modes and features, and many gameplay improvements
Two campaigns, and all DLC included - Metro Redux includes two complete campaigns that combine to create one epic solo adventure, plus a further 10 hours of bonus content
Two unique Play Styles : 'Spartan' and 'Survival' The legendary Ranger Mode returns - dare you play the fearsome Ranger Mode?",4,96
813,Desperados III Standard Edition - PC [Online Game Code],49.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,4,0,16,6,2020,9,9,0,1,0,"Play five unique characters, each with a very particular set of skills
Experience true freedom of choice with countless different ways to overcome any obstacle
Witness the glory of classic Wild West scenarios like frontier towns, mysterious swamps, sprawling modern cities, and many more
Adjust the game to your playstyle with various difficulty settings and special replay challenges
The Showdown mode allows you to pause the game anytime and react to ambushes or surprise attacks",5,75
838,Chivalry 2 Steelbook Edition (PC) (64-Bit),40.02,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,26,20,5,0,0,0,7,0,1,1,0,"Eindrucksvolle visuellen Qualität mit einer Atmosphäre, die Spieler in Momente epischer Mittelalter-Action-Filme aus Hollywood wirft
Die Einführung der Cross-Play-Funktion sprengt die Grenzen zwischen Spielern auf Konsolen und PC
Epische Mittelalter-Umgebungen: Ausgedehnte Mittelalter-Umgebungen, von Wettkampf-Ringen bis zu Belagerungsplätzen epischen Ausmaßes
Inkl. das Spiel, ein Steelbook und zusätzlichen digitalen Content",4,48
847,Rose Riddle: The Fairy Tale Detective [Download],6.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,16,15,0,11,10,2017,6,5,0,1,0,"Dozens of captivating levels
An easy mode for new players
Downloadable artwork and music
A detailed walkthrough of each level
A step-by-step tutorial",5,23
849,Mystery Workshop - Hidden Object Adventure,15.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,15,2,0,0,0,0,7,0,1,1,0,"It's a fun-filled world of hidden object whimsy!
Toy-filled rooms, miniature houses, and delightful confections fill the scenes of this enticing hunt.
Search for over 1000 carefully placed objects packed into candy bins, dollhouse tableaux, factory floors, and more!
There's a challenging sliding tile puzzle in each destination
Windows XP, Vista, 7, 8 compatible",5,54
850,ONE PIECE World Seeker [Standard ] [Online Game Code],59.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,19,2,0,14,3,2019,6,5,0,1,0,"ONE PIECE ADVENTURE WITH OPEN FIELDS TO EXPLORE
EXPLORE SEAMLESS AND EXPANSIVE AREAS IN AN ALL-NEW ADVENTURE
EXPERIENCE AN EPIC NEW STORY FROM LUFFY’S POINT OF VIEW WITH ALL OF HIS GUM-GUM ABILITIES",3,33
853,Academy Games | Conflict of Heroes: Storms of Steel 3rd Edition | Board Game | 2-4 Players,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,18,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Awakening the bear is a fast-paced war-game with highly detailed maps, real-world tactics, and a fluid, easy-to-learn system.
New 3rd edition - with simultaneous game play! Allows players to interact without waiting.
Easy: teach a new player how to play in under 5 minutes
Historically accurate: portrays realistic forces and tactics
Great for teachers & History enthusiasts. This is a historical based board game",9,87
862,Madden NFL 22 - 500 Points - PC [Online Game Code],5.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,9,0,20,8,2021,5,0,0,1,0,"PLAY - Hone your skills with Ultimate Team Challenges or play online to showcase your skills.
EARN - As you play, earn rewards to finesse your depth chart. You can also work the Auction House to acquire specific players improve your roster.
UPGRADE - Use rewards to build and upgrade your Ultimate Team. Comprised of current NFL superstars, Hall of Fame legends, and more, customize your fantasy roster continue to upgrade all season.",3,73
885,Babel Rising - Mac [Online Game Code],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,0,7,8,2012,0,0,0,3,0,0,0,0
911,Mighty Quest For Epic Loot - The Attacker Pack [Online Game Code],14.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,0,25,2,2014,2,2,0,1,0,"Includes 1050 Blings
Early access to the Runaway, with an exclusive skin and special effects
1 Inventory page
And boosts!",4,20
949,Agon - The Mysterious Codex [Download],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,63,2,0,18,11,2015,1,5,0,1,0,"Intriguing plot from an award-winning story-teller, Story-driven puzzles
Exploration and travel to exotic places, Engaging characters and excellent voice acting
Rich atmospheric sound, authentic music, Historically correct, gorgeous graphics
Re-playable ancient board games, Suitable for all from 10 to 80++
Runs on older technology",5,44
957,Hoyles Classic Casino & Sierra Game Room (Jewel Case) - PC,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,9,8,5,0,0,0,3,7,1,1,0,"2 Games in one package
Hoyles Classic Casino
Sierra Game Room
For PC",4,13
962,Ghost Recon Adv Warfighter,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,1,0,0,0,0,0,0,1,1,0,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Become the soldier of the future - Use a fully integrated combat system with cutting-edge weapons and communication systems, all based on real military research
Use the revolutionary Cross-Com, a communication device powered by satellite technology -
Attached to the soldier's monocle, it commands the allied forces and drones, directing artillery and air strikes and providing visual and auditory intelligence for full situational awareness
Stunning urban environments - the game takes place in a meticulously detailed Mexico City, one of the world's largest urban areas. Visit multiple locations all over the capital, for complete immersion in the urban war of the future
Top-notch multiplayer experience delivers industry-leading multiplayer and cooperative gameplay for one of the hottest online franchises",9,141
965,Saga Frontier Remastered - PC [Online Game Code],24.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,3,5,15,4,2021,6,9,0,1,0,"New Main Character, Fuse! The new main character, Fuse, can be played once certain conditions have been fulfilled. The Fuse scenario features great new tracks from Kenji Ito, and is full of new content. Discover a different side to the other main characters.
Phantom Cutscenes, Implemented at last Several cutscenes that were have been added to Asellus's scenario. Delve deeper into the story than before.
Improved Graphics and Extensive New Features Alongside upgraded high-resolution graphics, the UI has been updated and improved. Additional new features have been added, including double-speed mode, making gameplay smoother than ever.",3,96
970,Dark Tales 3 Poe's Premature Burial PC,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,2,5,0,0,0,0,1,15,1,1,0,"Dark atmosphere
Incredible locations",2,4
973,Vampire: The Masquerade - Bloodlines 2: Unsanctioned Edition [Online Game Code],69.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,18,3,0,31,12,2022,7,0,0,1,0,"Pre-Order Vampire: The Masquerade - Bloodlines 2 today for exclusive early access to the First Blood Pack, delivered at Day 1.
With the Bloodlines 2: Unsanctioned Blood Pack, call back to another, older Unsanctioned vampire's journey through the City of Angels.",2,41
993,Pirates of Treasure Island (PC Games),25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,44,8,0,0,0,0,2,0,1,1,0,"Atmospheric movie style soundtrack
Unique combination of puzzle and adventure
Varying levels
Game statestics
Amazing pirate animations",5,17
1000,"GMT Games GMT2001 Imperial Struggle, Mixed Colours",25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,18,14,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Imperial Struggle is a two-player game depicting the 18th-century rivalry between France and Britain. It begins in 1697, as the two realms wait warily for the King of Spain to name an heir, and ends in 1789, when a new order brought down the Bastille.
The game is not merely about war: both France and Britain must build the foundations of colonial wealth, deal with the other nations of Europe, and compete for glory across the span of human endeavor.
Imperial Struggle covers almost 100 years of history and four major wars. Yet it remains a low-complexity game, playable in a short evening.
In war turns, each theatre can bring great rewards of conquest and prestige, but territorial gains can disappear at the treaty table.
At the end of the century, will the British rule an empire on which the sun never sets? Or will France light the way for the world, as the superpower of the Sun King's dreams or the republic of Lafayette's?",9,188
1002,The Witcher 2: Assassins of Kings Enhanced Edition,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,23,1,8,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
The Witcher 2: Assassins Of Kings is a single player Role Playing Game (RPG), and sequel to the critically acclaimed 2007 PC game, The Witcher.
Assassins Of Kings continues the adventures of the Medieval monster hunter for hire, Geralt of Rivia, and his search for the truth of his forgotten past and the treachery surrounding him.
Game features include: hack n' slash and magical combat, a mature storyline, game development based on choices in mission play and dialog chains and weapons variety.
Sequel to the acclaimed 2007 PC RPG, The Witcher 2: Assassins of Kings continues the adventures of Geralt of Rivia
A complex, expansive and mature adventure with a non-linear story in which every decision may have grave consequences
Experience and exceptionally realistic, vast game world, teeming with its own life and distinct locations
Spectacular, dynamic, brutal combat system featuring numerous tactical options such as, real-time interactive moves, ranged weapons, traps and bait and non-lethal attacks
Exclusive bonus items available only in this Special Edition of the game",12,192
1004,New Big Fish Games Abra Academy: Returning Cast Compatible With Windows Xp/Vista/Windows 7,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,46,8,0,0,0,0,8,11,0,1,0,For Windows ME/2000/XP/Vista,1,3
1012,Survivor Squad [Download],0.59,2.4,-1,-1.0,-1,-1,-1,-1,-1,-1,112,4,0,3,10,2013,1,1,0,1,0,"Use Melee weapons to take down enemies silently or go guns blazing
Scavenge buildings for materials to craft your gear
Equip Gadgets to assist you in combat
Highly randomized world providing infinite possibilities
Capture Infected buildings and defend them from the horde",5,42
1043,Shooty Fruity [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,112,1,0,19,12,2017,9,0,0,1,0,"SERVICE WITH A SMILE… AND A SHOTGUN!
VR SHOOTING MEETS JOB SIMULATION!",2,12
1061,Diner Dash with Keepsake Tin,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,64,5,0,0,0,0,8,2,3,1,0,"Build a restaurant empire in this fast-paced yet easy to play adventure.
50 challenging levels
Grow your restaurant through 4 complete renovations
5 different types of customers, each behaving uniquely
2 modes of play, Career and Endless Shift",5,38
1082,Land of the Dragon - Hidden Object Game [Download],1.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,112,5,0,10,2,2015,1,1,0,1,0,"10 Fun Levels
40 Objects Per Level
400 Hidden Objects to Find
100 Achievements to Unlock and Stars to Earn",4,20
1105,Madden NFL 22 - 1050 Points - PC [Online Game Code],10.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,9,0,20,8,2021,5,0,0,1,0,"PLAY - Hone your skills with Ultimate Team Challenges or play online to showcase your skills.
EARN - As you play, earn rewards to finesse your depth chart. You can also work the Auction House to acquire specific players improve your roster.
UPGRADE - Use rewards to build and upgrade your Ultimate Team. Comprised of current NFL superstars, Hall of Fame legends, and more, customize your fantasy roster continue to upgrade all season.",3,73
1124,Millionaire Sports Edition (Jewel Case) - PC,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,37,18,0,0,0,0,2,0,2,1,0,"Ultra fan Regis tosses tough sports trivia
Topics ranging from football, baseball and basketball to hockey, golf and more
Challenge your friends for the highest score
A slam dunk gift for every Millionaire and Sports Fan
For Mac System 8.6 - 9x or Windows 95/98/Me",5,45
1154,Hearts of Iron III: Mega German Pack [Online Game Code],0.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,18,4,0,29,7,2013,2,2,0,1,0,"You can download your game or software order an unlimited number of times for personal use.
Please check the system requirements to verify this game works with your computer and/or operating system before purchase.
You can also shop for digital games on your mobile device.",3,45
1159,Sorry! (Win 95 - Internet playable),25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,45,13,0,0,0,0,11,7,1,1,0,"Super charged 3d animations, great sound effects, and pawns with attitude
4 game variations: classic, team, strategy and the all new Way Sorry!
New ways to bump, slide and Sorry! your opponents
Challenge family and friends
Vintage PC game for Windows 95",5,42
1171,Far Cry New Dawn - Knight Pack [Online Game Code],3.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,0,4,3,2019,7,0,0,1,0,0,0,0
1182,Magical Marriage Lunatics!! pc game,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,15,20,0,0,0,0,1,15,2,1,0,0,0,0
1195,"Everything Epic Games Rambo The Board Game: First Blood, Black",25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,20,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
The year is 1981, and you’re John Rambo, just returned home from Vietnam to a country you don’t recognize. You wander into the wrong town just looking for something to eat and now you’re fighting for your life!
become Rambo and make all the critical choices and alter the outcomes of your favorite 80’s action movie, First Blood!
This is a solo narrative game experience unlike any you’ve ever played before!
This game is fully dice-less, so it's all about the narrative story and your tactical choices in this ""Choose your own adventure-like game""
1 Player/60-90 Minutes/Ages 14+",9,121
1197,Leder Games | Root: The Underworld Expansion,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,18,2,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Delve deeper into the world of Root with the Underworld Expansion, which adds two new factions and a new board to your Root game!
You will need the Root base game to play this expansion.
1-6 players, ages 10+
60-90 minute playing time",8,66
1199,AION Classic: QUNA 400 - PC [Online Game Code],10.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,39,3,1,23,6,2021,6,3,0,1,0,"Aion Classic currency
For use in the in-game shop
Can be used for Daeva Pass to get exclusive daily, weekly, and seasonal quests and rewards
Can be used for Daeva Pass to get exclusive daily, weekly, and seasonal quests and rewards
Can be used for in-game packs and character boosts",5,50
1200,Game of Thrones: The Trivia Game - Seasons 5-8 Expansion,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,104,11,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
A new expansion to complete your Game of Thrones: The Trivia Game collection
Over 1, 200 new questions keep your challenges fresh and your wits sharp
Ability to add fifth player adds new opportunities for alliances and betrayals
New iconic characters from the show bring powerful new abilities if you can earn their favor
Number of players: 2 to 5",9,83
1211,Battle Worlds: Kronos [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,4,0,4,11,2013,17,15,0,1,0,"You can download your game or software order an unlimited number of times for personal use.
Please check the system requirements to verify this game works with your computer and/or operating system before purchase.
You can also shop for digital games on your mobile device.",3,45
1227,Rocket Arena - 11500 Rocket Fuel - PC [Online Game Code],99.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,4,4,14,7,2020,4,3,0,1,0,"On a hot streak? Burn brighter with Rocket Arena Rocket Fuel
Use Rocket Fuel to purchase the blast pass or unique customizations",2,22
1229,Clash of Giants: Civil War,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,18,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Product is for use as a table top board game
Product Number: GMT 1603
Number of Players: 1-2
CoG: Civil War uses a modified version of the chit-pull Activation system of Clash of Giants II: Campaigns of Galicia and First Ypres, 1914, while retaining the CoG combat system. Every (mostly brigade-level) unit has a Tactical Efficiency Rating based on its morale, training, leadership, and experience, but even a poor unit can have a heroic moment, while the Iron Brigade might not always be made of iron.
It is a true player’s system, which produces realistic results without a lot of fiddly procedures, and allows players to concentrate on the game rather than the rules. Units in CoG: Civil War are mostly infantry brigades, (with the odd cavalry brigade or demi-brigade). Each day is divided into four day turns and one night turn. The maps depict woods, hills, steep hexsides, railway cuts and embankments, roads, rivers, creeks, bridges, towns, marshy ground, and the Devil’s Den at Gettysburg.",9,189
1241,"Broken Age Video Game for Pc, Mac, and Lunux",5.49,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,15,2,0,0,0,0,17,0,2,0,0,0,0,0
1246,Zoo Tycoon: Ultimate Animal Collection - PC,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,5,7,0,0,0,0,4,3,2,1,0,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Get up close and personal with nearly 200 visually stunning animals in 4K ultra HD and HDR
New wildlife from south America and Australia
Create the zoo of your dreams with the biggest, most detailed environments ever Utilizing intuitive powerful controls Designed for zoo Tycoon fans of all ages
It's your zoo - design and manage your ideal zoo from piece-by-piece road construction to the ability to adjust the enclosures and decorate them",8,96
1248,My Hero One's Justice 2 Standard Edition - PC [Online Game Code],59.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,19,1,0,12,3,2020,4,3,0,1,0,"Based on the hit anime series that features fan favorite characters like Deku, All Might, Shigaraki, and many more. Play through iconic and memorable scenes from the anime. Pull off explosive quirks with all of your favorite characters. Build your dream team with 40 playable characters.
Includes: -Game",2,48
1280,Star Wars Edge of the Empire Enter the Unknown EXPANSION | Roleplaying Game | Strategy Game For Adults and Kids | Ages 10 and up |3-5 Players | Average Playtime 1 Hour | Made by Fantasy Flight Games,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,104,18,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
THIS IS AN EXPANSION FOR STAR WARS EDGE OF THE EMPIRE ROLEPLAYING GAME. This is not a complete game experience. A copy of Star Wars Edge of the Empire Roleplaying Game is required to play.
PREPARE FOR ADVENTURE IN THE STAR WARS GALAXY: Participate in grim and gritty adventures in places where morality is gray and nothing is certain. Ply your trade as a smuggler in the Outer Rim, collect bounties on the scum that live in the shadows of Coruscant, or try to establish a new colony on a planet beneath the Empire’s notice.
ENTER THE UNKNOWN: This supplement for the Star Wars Edge of the Empire Roleplaying Game features new content for the Explorer career. Explorers will find all-new specializations, talents, and signature abilities, while all players will benefit from new character, vehicle, and equipment options.
A SOURCEBOOK FOR EXPLORERS: Enter the Unknown also provides tools for making stronger and more diversified characters. Meanwhile, GMs can find advice on incorporating the themes of exploration, trade, and hunting into their campaigns. It’s time to Enter the Unknown!
NUMBER OF PLAYERS AND AVERAGE PLAYTIME: Star Wars Edge of the Empire is an exciting roleplaying game for adults and kids designed for 3 to 5 players and is suitable for ages 10 and older. The average playtime is approximately one hour.",9,243
1321,2K Ball N’ Brawl Bundle - PC [Online Game Code],30.0,29.99,-1,-1.0,-1,-1,-1,-1,-1,-1,6,9,0,5,3,2021,5,0,0,1,0,"WWE 2K Battlegrounds Deluxe Edition
NBA 2K Playgrounds 2",2,9
1335,Garfield Kart [Download],7.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,63,1,5,7,11,2013,1,1,0,1,0,"16 DIFFERENT CIRCUITS — stunning 3D environments from the world of Garfield (Garfield's neighborhood, the city, the Mally supermarket, the sunny farm, the misty docks, the oasis, the dark manor house, etc.)
8 CHARACTERS — Garfield, Odie, Jon, Nermal, Arlene, Liz, Harry and Squeak.
ONLINE MULTIPLAYER MODE and LOCAL MODE: invite your friends and take on up to 5 opponents! Multiply the mayhem!
CROSSPLATFORM multiplayer mode — challenge your friends on any device! All they need is the game!
Use your DRIVING skills (skids, mini jumps, shortcuts)",5,87
1343,For Honor: Kyoshin Hero - PC [Online Game Code],7.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,1,22,7,2021,6,3,0,1,0,"1 New Hero: Kyoshin
1 Exclusive Ornament
1 Elite Outfit
7-Day Champion Status (Extra XP, Extra Loot, and More)
3 Scavenger Crates with Random Gear",5,25
1349,Cool Mini or Not CMNPEL001 Project: Elite,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,18,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Project: ELITE
This new edition of Project: ELITE will have new art, new miniatures, new card designs, new weapons, new ELITE members, new enemies, and more
In a post apocalyptic setting, an alien civilization has invaded Earth
Players must coordinate their movement during the energetic, hectic time limit if they want to finish their goals and send the aliens packing
English Version | 1-6 Players | Ages 14+ | 60 Minute Playing Time",9,96
1382,Pet Pals [Download],9.95,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,58,7,0,13,1,2008,0,0,0,1,0,"Great family fun on the PC and Mac, perfect for ages 10+!
Pamper your pets by washing and grooming them!
3 levels of play, fascinating trivia and memory games!
Rise in the ranks to become the #1 Pet Vet!",4,39
1400,Giana Sisters: Twisted Dreams - Rise of the Owlverlord [Online Game Code],4.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,5,8,0,26,9,2013,6,2,0,1,0,"Giana Sisters: Twisted Dreams - Rise of the Owlverlord is a blistering platformer with morphing worlds,
featuring seven brand new levels, a new boss and new gripping tracks from Chris Hülsbeck and Machinae Supremacy!
Powerful Abilities: Change Giana's personality to unleash her unique abilities - you'll need to control both sides to survive her dreams!
Intuitive Controls and Smooth Gameplay: Master the tight knit controls to defeat the cunning trials ahead",4,71
1406,DOOM UAC Bundle [PC Game] - Bethesda - 2016,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,12,1,0,0,0,0,9,0,2,2,0,UAC Bundle includes DOOM Season Pass and Collectible steelbook,1,9
1421,Bloom! [Download],9.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,112,15,0,27,4,2015,1,1,0,1,0,"- 60 well-balanced levels to enjoy!
- 47 kinds of item upgrades to buy!
- 17 customers with their own life stories that play out in beautiful cutscenes.
- 6 countries to build your flower shops in!
- Original music compositions with American, French and Japanese stylings!",5,47
1431,Civilization VI: Maya and Gran Colombia Pack - PC [Online Game Code],8.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,6,4,0,21,5,2020,5,0,0,1,0,"This new content pack introduces the Maya civilization, led Lady Six Sky, and the Gran Colombia civilization, led by Simón Bolívar.
Also included is the new Apocalypse game mode as well as new City-States, Resources, and Natural Wonders.",2,38
1433,Book of Legends [Download],6.89,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,7,6,0,31,7,2014,1,5,0,1,0,"Discover a book that could change the balance of power
Travel to five different countries in search of the mysterious book
Enjoy a combination of Hidden Object scenes and puzzles
Immerse in this captivating story",4,35
1440,Trackmania Club Access (1 Year Subscription) - PC [Online Game Code],29.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,9,7,2,7,2021,5,0,0,1,0,"Experience player-made tracks with the Track of the Day, Arcade Channel, and Club online rooms and campaigns.
Create skins and replays. Build and share tracks with the advanced track editor.
Compete in the daily and monthly competitions, and the Open Grand League.
Join and create your clubs to share and enjoy exclusive creations and activities.
Keep the advanced editor, the 365 Track of the Day, and the 100 official tracks after your access expires.",5,74
1452,Vampire: The Masquerade - Bloodlines 2 [Online Game Code],59.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,18,3,0,31,12,2022,7,0,0,1,0,"Seattle has been under Kindred rule since the 1850s. While the city has changed, you can use the Bloodlines 2: First Blood Pack to go back to a darker, bloodier time.
Pre-Order Vampire: The Masquerade - Bloodlines 2 today for exclusive early access to the First Blood Pack, delivered at Day 1.",2,52
1454,Guild Wars 2: End of Dragons Deluxe [Online Game Code],54.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,39,3,0,28,2,2022,6,3,0,1,0,"PRE-ORDER and receive a Flame Serpent Weapon Chest, Shing Jea Mosaic Cape, and Prodigy of Shing Jea Title
Shared Inventory Slot & Max Level Boost
Additional Character Slot
Shing Jea Dragon Boat Skiff Skin
Canthan Raptor Skin & Identity Repair Kit",5,41
1463,Agents of Mayhem: Total Mayhem Bundle [Online Game Code],43.4,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,26,1,0,15,10,2017,6,5,0,1,0,"Agents of MAYHEM is the latest open-world, third-person action game from the creators of the Saints Row franchise!
In Agents of MAYHEM, you run a no-holds barred operation against a shadowy super-villain organization known only as LEGION and their mysterious leader, the Morningstar.",2,43
1498,Tales from the Borderlands Standard - PC [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,6,1,1,17,2,2021,5,0,0,1,0,"Includes all five episodes of Tales from the Borderlands
Experience an adventure from the perspectives of two very different protagonists: Hyperion lackey Rhys and quick-witted con artist Fiona
Every choice you make drives the story forward, letting you tailor your journey and shape your relationships as you see fit",3,49
1533,Fashioning Little Miss Lonesome / from Manga Gamer,30.37,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,85,20,0,0,0,0,4,3,2,1,0,0,0,0
